A00,Холера
M86.4,Хроничен остеомиелит с фистула
M86.5,Други хронични хематогенни остеомиелити
M86.6,Други хронични остеомиелити
M86.8,Друг остеомиелит
M86.9,"Остеомиелит, неуточнен"
M87,Остеонекроза
M87.0,Асептична идиопатична остеонекроза
M87.1,Медикаментозна остеонекроза
M87.2,Остеонекроза след предшестваща травма
M87.3,Други вторични остеонекрози
M87.8,Други остеонекрози
M87.9,"Остеонекроза, неуточнена"
M88,Болест на Paget [деформиращ остеит]
M88.0,Увреждане на черепа при болестта на Paget
M88.8,Увреждане в други кости при болестта на Paget
M88.9,"Болест на Paget, неуточнена"
M89,Други болести на костите
M89.0,Алгоневродистрофия
M89.1,Преждевременно срастване на епифизата с диафизата (епифизарен стоп)
M89.2,Други нарушения в растежа и развитието на костта
M89.3,Костна хипертрофия
M89.4,Друга хипертрофична остеоартропатия
M89.5,Остеолиза
M89.6,Остеопатия след полиомиелит
M89.8,Други уточнени увреждания на костите
M89.9,"Болест на костта, неуточнена"
M90*,"Остеопатии при болести, класифицирани другаде"
M90.0,Костна туберкулоза (А18.0ї)
M90.1,"Периостит при други инфекциозни болести, класифицирани другаде"
M90.2,"Остеопатия при други инфекциозни болести, класифицирани другаде"
M90.3,Остеонекроза при кесонна болест (Т70.3ї)
M90.4,Остеонекроза при хемоглобинопатия (D50-D64ї)
M90.5,"Остеонекроза при други болести, класифицирани другаде"
M90.6,Деформиращ остеит при новообразувания (С00- D48ї)
M90.7,Фрактури на костите при новообразувания (C00-D48ї)
M90.8,"Остеопатия при други болести, класифицирани другаде"
M91,Юношеска остеохондроза на таза  и бедрената кост
M91.0,Юношеска остеохондроза на таза
M91.1,Юношеска остеохондроза на бедрената глава [Legg-Calve-Perthes]
M91.2,Coxa plana
M91.3,Псевдококсалгия
M91.8,Други ювенилни остеохондрози на таза и бедрена-та става
M91.9,"Ювенилна остеохондроза на таза и бедрената става, неуточнена"
M92,Други юношески остехондрози
M92.0,Ювенилна остеохондроза на раменната кост
M92.1,Ювенилна остеохондроза на лъчевата и лакътната кост
M92.2,Ювенилна остеохондроза на ръката
M92.3,Друга ювенилна остеохондроза на горния крайник
M92.4,Ювенилна остеохондроза на пателата
M92.5,Ювенилна остеохондроза на тибия и фибула
M92.6,Юношеска остеохондроза на костите на стъпалото
M92.7,Юношеска остеохондроза на предния отдел на стъпалото
M92.8,Друга ювенилна уточнена остеохондроза
M92.9,"Ювенилна остеохондроза, неуточнена"
M93,Други остеохондропатии
M93.0,Епифизиолиза на бедрената глава (нетравматична) [coxa vara retrosa]
M93.1,Болест на Kienbцck при възрастни
M93.2,Дисекиращ остеохондрит
M93.8,Други уточнени остеохондропатии
M93.9,"Остеохондропатия, неуточнена"
M94,Други увреждания на хрущяла
M94.0,Синдром на хондрокосталните съчленения [Tietze]
M94.1,Рецидивиращ полихондрит
M94.2,Хондромалация
M94.3,Хондролиза
M94.8,Други уточнени увреждания на хрущяла
M94.9,"Увреждане на хрущяла, неуточнено"
M95,Други придобити деформации на костно-мускулната система и  съединителната тъкан
M95.0,Придобита деформация на носа
M95.1,"Деформация на ушната мида, предизвикана от травма и последващ перихондрит"
M95.2,Други придобити деформации на главата
M95.3,Придобита деформация на шията
M95.4,Придобита деформация на гръдния кош и ребрата
M95.5,Придобита деформация на таза
M95.8,Други уточнени придобити деформации на костно-мускулната система
M95.9,"Придобита деформация на костно-мускулната система, неуточнена"
M96,"Увреждания на костно-мускулната  система след медицински процедури,  некласифицирани другаде"
M96.0,Псевдоартроза след артродеза
M96.1,"Синдром след ламинектомия, некласифициран другаде"
M96.2,Пострадиационна кифоза
M96.3,Кифоза след ламинектомия
M96.4,Лордоза след хирургична намеса
M96.5,Пострадиационна сколиоза
M96.6,"Фрактура след поставяне на имплантат, ставна протеза или други остеосинтезни средства"
M96.8,Други увреждания на костно-мускулната система след медицински процедури
M96.9,"Увреждане на костно-мускулната система след медицински процедури, неуточнено"
M99,"Биомеханични нарушения,  некласифицирани другаде"
M99.0,Сегментарна или соматична дисфункция
M99.1,Комплексна сублуксация (вертебрална)
M99.2,Стеноза на спиналния канал при сублуксация
M99.3,Костна стеноза на спиналния канал
M99.4,Съединително-тъканна стеноза на спиналния канал
M99.5,Междупрешленна дискова стеноза на спиналния канал
M99.6,Костна и сублуксационна стеноза на интервертебралните отвори
M99.7,Съединително-тъканна и дискова стеноза на интервертебралните отвори
M99.8,Други биомеханични нарушения
M99.9,"Биомеханично нарушение, неуточнено"
N00,Остър нефритен синдром
N01,Бързо прогресиращ нефритен синдром
N02,Рецидивираща и постоянна хематурия
N03,Хроничен нефритен синдром
N04,Нефрозен синдром
N05,"Нефритен синдром, неуточнен"
N06,Изолирана протеинурия с уточнено  морфологично увреждане
N07,"Наследствена нефропатия,  некласифицирана другаде"
N08*,"Гломерулни увреждания при болести,  класифицирани другаде"
N08.0,"Гломерулни увреждания при инфекциозни и паразитни болести, класифицирани другаде"
N08.1,Гломерулни увреждания при новообразувания
N08.2,Гломерулни увреждания при болести на кръвта и имунни нарушения
N08.3,Гломерулни увреждания при захарен диабет (E10-E14ї с общ четвърти знак .2)
N08.4,"Гломерулни увреждания при други болести на ендокринната система, разстройства на храненето и на обмяната на веществата"
N08.5,Гломерулни увреждания при системни болести на съединителната тъкан
N08.8,"Гломерулни увреждания при други болести, класифицирани другаде"
N10,Остър тубулоинтерстициален нефрит
N11,Хроничен тубулоинтерстициален нефрит
N11.0,"Необструктивен хроничен пиелонефрит, свързан с рефлукс"
N11.1,Хроничен обструктивен пиелонефрит
N11.8,Други хронични тубулоинтерстициални нефрити
N11.9,"Хроничен тубулоинтерстициален нефрит, неуточнен"
N12,"Тубулоинтерстициален нефрит,  неуточнен като остър или хроничен"
N13,Обструктивна и рефлуксна нефропатия
N13.0,Хидронефроза с обструкция на уретеропелвикалното съединение
N13.1,"Хидронефроза със стриктура на уретера, некласифицирана другаде"
N13.2,"Хидронефроза с обструкция на бъбрек и уретер, причинена от камъни"
N13.3,Други и неуточнени хидронефрози
N13.4,Хидроуретер
N13.5,Прегъване и стриктура на уретера без хидронефроза
N13.6,Пионефроза
N13.7,"Уропатия, свързана с везикоуретерален рефлукс"
N13.8,Друга обструктивна и рефлуксна уропатия
N13.9,"Обструктивна и рефлуксна нефропатия, неуточнена"
N14,"Тубулоинтерстициални и тубулни  увреждания, предизвикани от лекарства  и от тежки метали"
N14.0,"Нефропатия, предизвикана от аналгетици"
N14.1,"Нефропатия, предизвикана от други лекарства, медикаменти или биологично активни вещества"
N14.2,"Нефропатия, предизвикана от неуточнено лекарствено средство, медикамент или биологично активно вещество"
N14.3,"Нефропатия, предизвикана от тежки метали"
N14.4,"Токсична нефропатия, некласифицирана другаде"
N15,Други тубулоинтерстициални болести  на бъбреците
N15.0,Балканска нефропатия
N15.1,Бъбречен и перинефрален абсцес
N15.8,Други уточнени тубулоинтерстициални увреждания на бъбреците
N15.9,"Тубулоинтерстициално увреждане на бъбреците, неуточнено"
N16*,"Тубулоинтерстициални увреждания на бъбреците при болести, класифицирани другаде"
N16.0,"Бъбречни тубулоинтерстициални увреждания при инфекциозни и паразитни болести, класифицирани другаде"
N16.1,Бъбречни тубулоинтерстициални увреждания при новообразувания
N16.2,"Бъбречни тубулоинтерстициални увреждания при  болести на кръвта и нарушения, включващи имунния механизъм"
N16.3,Бъбречни тубулоинтерстициални увреждания при  болести на обмяната на веществата
N16.4,Бъбречни тубулоинтерстициални увреждания при системни болести на съединителната тъкан
N16.5,Бъбречни тубулоинтерстициални увреждания при реакция на отхвърляне на трансплантат (Т86.-ї)
N16.8,"Бъбречни тубулоинтерстициални увреждания при други болести, класифицирани другаде"
N17,Остра бъбречна недостатъчност
N17.0,Остра бъбречна недостатъчност с тубулна некроза
N17.1,Остра бъбречна недостатъчност с остра кортикална некроза
N17.2,Остра бъбречна недостатъчност с медуларна некроза
N17.8,Друга остра бъбречна недостатъчност
N17.9,"Остра бъбречна недостатъчност, неуточнена"
N18,Хронична бъбречна недостатъчност
N18.0,Терминален стадий на бъбречна болест
N18.8,Други прояви на хронична бъбречна недостатъчност
N18.9,"Хронична бъбречна недостатъчност, неуточнена"
N19,"Бъбречна недостатъчност, неуточнена"
N20,Камък в бъбрека и в уретера
N20.0,Камък в бъбрека
N20.1,Камък в уретера
N20.2,Камък в бъбрека с камък в уретера
N20.9,"Камък в пикочните пътища, неуточнен"
N21,Камък в долните пикочни пътища
N21.0,Камък в пикочния мехур
N21.1,Kамъни в уретрата
N21.8,Друг камък в долните пикочни пътища
N21.9,"Камък в долните пикочни пътища, неуточнен"
N22*,"Камък в пикочните пътища при болести, класифицирани другаде"
N22.0,Камък при шистозомоза [билхарциоза] (В65.-ї)
N22.8,"Камък в пикочните пътища при други болести, класифицирани другаде"
N23,"Бъбречна колика, неуточнена"
N25,"Нарушения, които са резултат от увредена функция на бъбречните тубули"
N25.0,Бъбречна остеодистрофия
N25.1,Бъбречен инсипиден диабет
N25.8,"Други нарушения, които са резултат от увредена функция на бъбречните тубули"
N25.9,"Нарушение на функцията на бъбречните тубули, неуточнено"
N26,"Сбръчкан бъбрек, неуточнен"
N27,Mалък бъбрек по неизвестна причина
N27.0,"Mалък бъбрек, едностранно"
N27.1,"Mалък бъбрек, двустранно"
N27.9,"Mалък бъбрек, неуточнен"
N28,"Други нарушения на бъбреците и уретера, некласифицирани другаде"
N28.0,Исхемия и инфаркт на бъбрека
N28.1,"Бъбречна киста, придобита"
N28.8,Други уточнени нарушения на бъбрека и уретера
N28.9,"Нарушение на бъбрека и уретера, неуточнено"
N29*,"Други увреждания на бъбреците  и уретера при болести, класифицирани другаде"
N29.0,Късен сифилис на бъбрека (А52.7ї)
N29.1,"Други увреждания на бъбрека и уретера при инфекциозни и паразитни болести, класифицирани другаде"
N29.8,"Други увреждания на бъбрека и уретера при други болести, класифицирани другаде"
N30,Цистит
N30.0,Остър цистит
N30.1,Интерстициален цистит (хроничен)
N30.2,Друг хроничен цистит
N30.3,Тригонит
N30.4,Радиационен цистит
N30.8,Други цистити
N30.9,"Цистит, неуточнен"
N31,"Невромускулна дисфункция на пикочния мехур, некласифицирана другаде"
N31.0,"Незатормозен неврогенен пикочен мехур, некласифициран другаде"
N31.1,"Рефлекторен неврогенен пикочен мехур, некласифициран другаде"
N31.2,"Неврогенна слабост на пикочния мехур, некласифицирана другаде"
N31.8,Други невромускулни дисфункции на пикочния мехур
N31.9,"Невромускулна дисфункция на пикочния мехур, неуточнена"
N32,Други увреждания на пикочния мехур
N32.0,Запушване на шийката на пикочния мехур
N32.1,Везикоинтестинална фистула
N32.2,"Везикална фистула, некласифицирана другаде"
N32.3,Дивертикул на пикочния мехур
N32.4,"Руптура на пикочния мехур, нетравматична"
N32.8,Други уточнени увреждания на пикочния мехур
N32.9,"Увреждане на пикочния мехур, неуточнено"
N33*,"Увреждания на пикочния мехур при болести, класифицирани другаде"
N33.0,Туберкулозен цистит (A18.1ї)
N33.8,"Увреждания на пикочния мехур при други болести, класифицирани другаде"
N34,Уретрит и уретрален синдром
N34.0,Абсцес на уретрата
N34.1,Неспецифичен уретрит
N34.2,Други уретрити
N34.3,"Уретрален синдром, неуточнен"
N35,Стриктура на уретрата
N35.0,Посттравматична стриктура на уретрата
N35.1,"Постинфекциозна стриктура на уретрата, некласифицирана другаде"
N35.8,Друга стриктура на уретрата
N35.9,"Стриктура на уретрата, неуточнена"
N36,Други болести на уретрата
N36.0,Уретрална фистула
N36.1,Дивертикул на уретрата
N36.2,Карункул на уретрата
N36.3,Пролапс на уретралната мукоза
N36.8,Други уточнени болести на уретрата
N36.9,"Болест на уретрата, неуточнена"
N37*,"Увреждания на уретрата при болести,  класифицирани другаде"
N37.0,"Уретрит при болести, класифицирани другаде"
N37.8,"Други уретрални увреждания при болести, класифицирани другаде"
N39,Други увреждания на отделителната  система
N39.0,Инфекция на пикочните пътища без уточнена локализация
N39.1,"Постоянна протеинурия, неуточнена"
N39.2,"Ортостатична протеинурия, неуточнена"
N39.3,Стрес инконтиненция (неволево изпускане)
N39.4,Други уточнени видове инконтиненция
N39.8,Други уточнени увреждания на отделителната система
N39.9,"Увреждане на отделителната система, неуточнено"
N40,Хиперплазия на простатата
N41,Възпалителни болести на простатата
N41.0,Остър простатит
N41.1,Хроничен простатит
N41.2,Абсцес на простатата
N41.3,Простатоцистит
N41.8,Други възпалителни болести на простатата
N41.9,"Възпалителна болест на простатата, неуточнена"
N42,Други увреждания на простатата
N42.0,Камък на простатата
N42.1,Застой и кръвоизлив в простатата
N42.2,Атрофия на простатата
N42.8,Други уточнени увреждания на простатата
N42.9,"Увреждане на простатата, неуточнено"
N43,Хидроцеле и сперматоцеле
N43.0,Кистозно хидроцеле
N43.1,Инфектирано хидроцеле
N43.2,Други форми на хидроцеле
N43.3,"Хидроцеле, неуточнено"
N43.4,Сперматоцеле
N44,Завъртане на тестиса (торзия)
N45,Орхит и епидидимит
N45.0,"Орхит, епидидимит и (епидидимо-орхит) орхиепидидимит с абсцес"
N45.9,"Орхит, епидидимит и орхиепидидимит без абсцес"
N46,Безплодие при мъжа
N47,"Изобилен (redundant) препуциум, фимоза и парафимоза"
N48,Други увреждания на половия член
N48.0,Левкоплакия на половия член
N48.1,Баланопостит
N48.2,Други възпалителни увреждания на половия член
N48.3,Приапизъм
N48.4,Импотентност от органичен произход
N48.5,Язва на половия член
N48.6,Баланит
N48.8,Други уточнени увреждания на половия член
N48.9,"Увреждане на половия член, неуточнено"
N49,"Възпалителни увреждания на мъжките полови органи, некласифицирани другаде"
N49.0,Възпалителни увреждания на семенните мехурчета
N49.1,"Възпалителни увреждания на семенната връв, на влагалищната обвивка и на семенния канал"
N49.2,Възпалителни увреждания на скротума
N49.8,Възпалителни увреждания на други уточнени мъжки полови органи
N49.9,Възпалително увреждане на неуточнен мъжки полов орган
N50,Други увреждания на мъжките полови органи
N50.0,Атрофия на тестиса
N50.1,Съдови увреждания на мъжките полови органи
N50.8,Други уточнени увреждания на мъжките полови органи
N50.9,"Увреждане на мъжки полови органи, неуточнено"
N51*,"Увреждания на мъжките полови органи при болести, класифицирани другаде"
N51.0,"Увреждания на простатата при болести, класифицирани другаде"
N51.1,"Увреждания на тестиса и на епидидима при болести, класифицирани другаде"
N51.2,"Баланит при болести, класифицирани другаде"
N51.8,"Други увреждания на мъжките полови органи при болести, класифицирани другаде"
N60,Доброкачествена дисплазия  на млечната жлеза
N60.0,Солитарна киста на млечната жлеза
N60.1,Дифузна кистозна мастопатия
N60.2,Фиброаденоза на млечната жлеза
N60.3,Фибросклероза на млечната жлеза
N60.4,Ектазия на каналчетата на млечната жлеза
N60.8,Други доброкачествени дисплазии на млечната жлеза
N60.9,"Доброкачествена дисплазия на млечната жлеза, неуточнена"
N61,Възпалителни болести на млечната жлеза
N62,Хипертрофия на млечната жлеза
N63,"Образувание в млечната жлеза,  неуточнено"
N64,Други болести на млечната жлеза
N64.0,Фисура и фистула на зърното
N64.1,Некроза на мастната тъкан на млечната жлеза
N64.2,Атрофия на млечната жлеза
N64.3,"Галакторея, несвързана с раждане"
N64.4,Мастодиния
N64.5,Други признаци и симптоми от страна на млечната жлеза
N64.8,Други уточнени болести на млечната жлеза
N64.9,"Болест на млечната жлеза, неуточнена"
N70,Салпингит и оофорит
N70.0,Остър салпингит и оофорит
N70.1,Хроничен салпингит и оофорит
N70.9,"Салпингит и оофорит, неуточнени"
N71,"Възпалителна болест на матката, без шийката на матката"
N71.0,Остра възпалителна болест на матката
N71.1,Хронична възпалителна болест на матката
N71.9,"Възпалителна болест на матката, неуточнена"
N72,Възпалителна болест на шийката на матката
N73,Други възпалителни болести  на женските тазови органи
N73.0,Остър параметрит и тазов целулит
N73.1,Хроничен параметрит и тазов целулит
N73.2,"Параметрит и тазов целулит, неуточнени"
N73.3,Остър пелвиоперитонит при жени
N73.4,Хроничен пелвиоперитонит при жени
N73.5,"Пелвиоперитонит при жени, неуточнен"
N73.6,Пелвиоперитонеални сраствания при жени
N73.8,Други уточнени възпалителни болести на женските тазови органи
N73.9,"Възпалителна болест на женските тазови органи, неуточнена"
N74*,"Възпалителни увреждания на женските тазови органи при болести,  класифицирани другаде"
N74.0,Туберкулозна инфекция на шийката на матката (А18.1ї)
N74.1,Туберкулозно възпаление на органите и тъканите на малкия таз при жени (А18.1ї)
N74.2,"Възпалителна болест на женските тазови органи, предизвикана от сифилис (A51.4ї, A52.7ї)"
N74.3,Възпалителна гонококова болест на женските тазови органи (А54.2ї)
N74.4,"Възпалителна болест на женските тазови органи, предизвикана от хламидий (А56.1ї)"
N74.8,"Възпалителни увреждания на женските тазови органи при други болести, класифицирани другаде"
N75,Болести на Бартолиновата жлеза
N75.0,Киста на Бартолиновата жлеза
N75.1,Абсцес на Бартолиновата жлеза
N75.8,Други болести на Бартолиновата жлеза
N75.9,"Болест на Бартолиновата жлеза, неуточнена"
N76,Други възпалителни болести  на влагалището и на вулвата
N76.0,Остър вагинит
N76.1,Подостър и хроничен вагинит
N76.2,Oстър вулвит
N76.3,Подостър и хроничен вулвит
N76.4,Aбсцес на вулвата
N76.5,Разязвяване на вагината
N76.6,Разязвяване на вулвата
N76.8,Други уточнени възпалителни болести на вагината и на вулвата
N77*,"Вулвовагинално разязвяване и възпаление при болести, класифицирани другаде"
N77.0,"Разязвяване на вулвата при инфекциозни и паразитни болести, класифицирани другаде"
N77.1,"Вагинит, вулвит и вулвовагинит при инфекциозни и паразитни болести, класифицирани другаде"
N77.8,"Вулвовагинално разязвяване и възпаление при други болести, класифицирани другаде"
N80,Ендометриоза
N80.0,Ендометриоза на матката
N80.1,Ендометриоза на яйчника
N80.2,Ендометриоза на маточната тръба
N80.3,Ендометриоза на тазовия перитонеум
N80.4,Ендометриоза на ректовагиналния септум и на вагината
N80.5,Ендометриоза на червата
N80.6,Ендометриоза на кожен цикатрикс
N80.8,Друга ендометриоза
N80.9,"Ендометриоза, неуточнена"
N81,Пролапс на женските полови органи
N81.0,Уретероцеле при жени
N81.1,Цистоцеле
N81.2,Непълен утеровагинален пролапс
N81.3,Пълен утеровагинален пролапс
N81.4,"Утеровагинален пролапс, неуточнен"
N81.5,Ентероцеле на вагината
N81.6,Ректоцеле
N81.8,Други форми на пролапс на женските полови органи
N81.9,"Пролапс на женските полови органи, неуточнен"
N82,Фистули със засягане на женските  полови органи
N82.0,Везиковагинална фистула
N82.1,Други фистули на женските полови органи
N82.2,Фистула между вагината и тънките черва
N82.3,Фистула между вагината и дебелите черва
N82.4,Други фистули между черва и женски полови органи
N82.5,"Фистули, генитално-кожни, при жени"
N82.8,Други фистули на женските полови органи
N82.9,"Фистула на женските полови органи, неуточнена"
N83,"Невъзпалителни болести на яйчника,  маточната тръба и широката връзка  на матката"
N83.0,Фоликуларна киста на яйчника
N83.1,Kиста на жълтото тяло
N83.2,Други и неуточнени кисти на яйчника
N83.3,Придобита атрофия на яйчника и маточната тръба
N83.4,Пролапс и херния на яйчника и маточната тръба
N83.5,"Завъртане на яйчника, яйчниковия педикул и маточната тръба"
N83.6,Хематосалпинкс
N83.7,Хематом на широката връзка на матката
N83.8,"Други невъзпалителни болести на яйчника, маточната тръба и широката връзка на матката"
N83.9,"Невъзпалителна болест на яйчника, маточната тръба и широката връзка на матката, неуточнена"
N84,Полип на женските полови органи
N84.0,Полип на тялото на матката
N84.1,Полип на шийката на матката
N84.2,Полип на вагината
N84.3,Полип на вулвата
N84.8,Полип на други части на женските полови органи
N84.9,"Полип на женските полови органи, неуточнен"
N85,"Други невъзпалителни болести на матката, без шийката на матката"
N85.0,Ендометриална жлезна хиперплазия
N85.1,Ендометриална аденоматозна хиперплазия
N85.2,Хипертрофия на матката
N85.3,Субинволуция на матката
N85.4,Неправилно положение на матката
N85.5,Обръщане на матката
N85.6,Вътрематочни синехии
N85.7,Хематометра
N85.8,Други уточнени невъзпалителни болести на матката
N85.9,"Невъзпалителна болест на матката, неуточнена"
N86,Ерозио и ектропион на шийката на матката
N87,Дисплазия на шийката на матката
N87.0,Слабо изразена дисплазия на шийката на матката
N87.1,Умерена дисплазия на шийката на матката
N87.2,"Тежко изразена дисплазия на шийката на матката, некласифицирана другаде"
N87.9,"Дисплазия на шийката на матката, неуточнена"
N88,Други невъзпалителни болести  на шийката на матката
N88.0,Левкоплакия на шийката на матката
N88.1,Старо разкъсване на шийката на матката
N88.2,Стриктура и стеноза на шийката на матката
N88.3,Недостатъчност на шийката на матката
N88.4,Хипертрофично удължаване на шийката на матката
N88.8,Други уточнени невъзпалителни болести на шийката на матката
N88.9,"Невъзпалителна болест на шийката на матката, неуточнена"
N89,Други невъзпалителни болести  на вагината
N89.0,Слабо изразена вагинална дисплазия
N89.1,Умерена дисплазия на вагината
N89.2,"Тежко изразена дисплазия на вагината, некласифицирана другаде"
N89.3,"Дисплазия на вагината, неуточнена"
N89.4,Левкоплакия на вагината
N89.5,Стриктура и атрезия на вагината
N89.6,Плътен девствен пръстен
N89.7,Хематоколпос
N89.8,Други уточнени невъзпалителни болести на вагината
N89.9,"Невъзпалителна болест на вагината, неуточнена"
N90,Други невъзпалителни болести  на вулвата и перинеума
N90.0,Слабо изразена дисплазия на вулвата
N90.1,Умерена дисплазия на вулвата
N90.2,"Тежко изразена дисплазия на вулвата, некласифицирана другаде"
N90.3,"Дисплазия на вулвата, неуточнена"
N90.4,Левкоплакия на вулвата
N90.5,Атрофия на вулвата
N90.6,Хипертрофия на вулвата
N90.7,Киста на вулвата
N90.8,Други уточнени невъзпалителни болести на вулвата и на перинеума
N90.9,"Невъзпалителна болест на вулвата и на перинеума, неуточнена"
N91,"Липса на менструация, оскъдна и рядка менструация"
N91.0,Първична аменорея
N91.1,Вторична аменорея
N91.2,"Аменорея, неуточнена"
N91.3,Първична олигоменорея
N91.4,Вторична олигоменорея
N91.5,"Олигоменорея, неуточнена"
N92,"Обилна, честа и нередовна менструация"
N92.0,Обилна и честа менструация с редовен цикъл
N92.1,Обилна и честа менструация с нередовен цикъл
N92.2,Oбилна менструация през пубертета
N92.3,Овулаторно кървене
N92.4,Обилно кървене в периода преди менопаузата
N92.5,Други уточнени форми на нередовна менструация
N92.6,"Нередовна менструация, неуточнена"
N93,Други аномални кръвотечения  от матката и вагината
N93.0,Посткоитално и контактно кървене
N93.8,Други уточнени аномални кръвотечения от матката и вагината
N93.9,"Аномално маточно и вагинално кръвотечение, неуточнено"
N94,"Болка и други състояния, свързани  с женските полови органи  и менструалния цикъл"
N94.0,Болки в средата на менструалния цикъл
N94.1,Диспареуния
N94.2,Вагинизъм
N94.3,Синдром на предменструално напрежение
N94.4,Първична дисменорея
N94.5,Вторична дисменорея
N94.6,"Дисменорея, неуточнена"
N94.8,"Други уточнени състояния, свързани с женските полови органи и менструалния цикъл"
N94.9,"Състояние, свързано с женските полови органи и менструалния цикъл, неуточнено"
N95,Нарушения на менопаузата и други  нарушения в периода около менопаузата
N95.0,Кървене след менопауза
N95.1,Менопауза и състояние на климакс при жени
N95.2,Атрофичен вагинит
N95.3,"Състояния, свързани с изкуствена менопауза"
N95.8,Други уточнени нарушения на менопаузата и в периода около менопаузата
N95.9,"Нарушение на менопаузата и в периода около менопаузата, неуточнено"
N96,Хабитуален аборт
N97,Безплодие при жената
N97.0,"Женско безплодие, свързано с липса на овулация"
N97.1,Женско безплодие с тубарен произход
N97.2,Женско безплодие с маточен произход
N97.3,Женско безплодие с цервикален произход
N97.4,"Женско безплодие, свързано с мъжки фактори"
N97.8,Женско безплодие с друг произход
N97.9,"Женско безплодие, неуточнено"
N98,"Усложнения, свързани с изкуствено  оплождане"
N98.0,"Инфекция, свързана с изкуствено оплождане"
N98.1,Хиперстимулация на яйчниците
N98.2,"Усложнения, свързани с имплантация на оплодена яйцеклетка след in vitro оплождане"
N98.3,"Усложнения, свързани с имплантация на ембрион"
N98.8,"Други усложнения, свързани с изкуствено оплождане"
N98.9,"Усложнение, свързано с изкуствено оплождане, неуточнено"
N99,"Увреждания на пикочо-половата  система след медицински процедури,  некласифицирани другаде"
N99.0,Следоперативна бъбречна недостатъчност
N99.1,Следоперативна стриктура на уретрата
N99.2,Следоперативни адхезии на вагината
N99.3,Пролапс на вагината след хистеректомия
N99.4,Следоперативни сраствания в малкия таз
N99.5,Дисфункция на стома от пикочните пътища
N99.8,Други увреждания на пикочо-половата система след медицински процедури
N99.9,"Увреждане на пикочо-половата система след медицински процедури, неуточнено"
O00,Извънматочна [ектопична] бременност
O00.0,Абдоминална бременност
O00.1,Тубарна бременност
O00.2,Овариална бременност
O00.8,Други форми на извънматочна бременност
O00.9,"Извънматочна бременност, неуточнена"
O01,Мола хидатидоза  (гроздовидна бременност)
O01.0,Класическа мола хидатидоза
O01.1,Инкомплетна и парциална мола хидатидоза
O01.9,"Мола хидатидоза, неуточнена"
O02,Други анормални продукти  на зачеването
O02.0,Кухо яйце и нехидатиформена мола
O02.1,Задържан аборт (missed abortion)
O02.8,Други уточнени анормални продукти на зачеването
O02.9,"Анормален продукт на зачеването, неуточнен"
O03,Спонтанен аборт
O04,Терапевтичен аборт
O05,Други видове аборт
O06,"Аборт, неуточнен"
O07,Неуспешен опит за аборт
O07.0,"Неуспешен терапевтичен аборт, усложнен с инфекция на родовия канал и тазовите органи"
O07.1,"Неуспешен терапевтичен аборт, усложнен с продължително или масивно кръвотечение"
O07.2,"Неуспешен терапевтичен аборт, усложнен с емболия"
O07.3,Неуспешен терапевтичен аборт с други и неуточнени усложнения
O07.4,Неуспешен терапевтичен аборт без усложнения
O07.5,"Друг и неуточнен неуспешен опит за аборт, усложнен с инфекция на родовия канал и тазовите органи"
O07.6,"Друг и неуточнен неуспешен опит за аборт, усложнен с продължително или масивно кръвотечение"
