icd,Latin,Transliterated
Q56,"XY sexus syndrome mutationem, defectum, glandula","кси секзус синдроме мутационем, дефектум, гландула"
E15,Hypoglycemic COMA (inordinatio) [ambigua],хипоглицемик кома (инординацио) [амбигуа]
G71,"Musculus Dystrophy,-membrum Ionathas tunica, 2P Typus","мускулус дистрофи,-мембрум ионатас туника, 2п типус"
G71,"muscular dystrophy cadaver uxoris, et cingulo genus 2s","мускулар дистрофи кадавер укзорис, ет цингуло генус 2с"
T78,hypersensitivity reactionem genus morbo non,хиперзензитивити реакционем генус морбо нон
G70,Receptor naturali myasthenic syndromes,рецептор натурали миастеник синдромес
E75,"Gerold lipofuscinosis, neuronal: I: CLN1","геролд липофусцинозис, неуронал: и: клн1"
E75,"Gerold lipofuscinosis, neuronal, VII; CLN7","геролд липофусцинозис, неуронал, вии; клн7"
E75,"Gerold lipofuscinosis, neuronal: VIII: CLN8","геролд липофусцинозис, неуронал: виии: клн8"
E75,"Osteochondrosis Gerold, Neuronal, typus X","остеохондрозис геролд, неуронал, типус X"
G20,autosomal dominant Parkinson scriptor morbus IV,аутозомал доминант паркинзон скриптор морбус IV
G24,autosomal recessive morbo XIV Parkinson,аутозомал рецессиве морбо XIV паркинзон
G71,megaconial naturali muscular dystrophy,мегакониал натурали мускулар дистрофи
F72,XXIX syndromic X coniunctum mentis retardatio,XXIX синдромик X кониунктум ментис ретардацио
E23,olfactogenitalis DYSPLASIA et de morsier,олфактогениталис дисплазиа ет де морзиер
G24,"Dystonia XIII, PLANE, autosomal dominant","дистониа кзиии, плане, аутозомал доминант"
G24,"Dystonia II, PLANE, autosomal recessive","дистониа ии, плане, аутозомал рецессиве"
C16,malignum pylorus,малигнум пилорус
D70,"NEUTROPENIA, PRAESEVERUS Congenita, X JUNCTUS","неутропениа, презеверус конгенита, X йунктус"
G11,autosomal dominant SPASTICUS paraplegia XLI,аутозомал доминант спастикус параплегиа XLI
G11,autosomal dominant SPASTICUS XLII paraplegia,аутозомал доминант спастикус XLII параплегиа
G11,"SPASTICUS paraplegia VI, autosomal dominant","спастикус параплегиа ви, аутозомал доминант"
H05,ab acuti inflammatio se spatiis flectens non specificatarum,аб акути инфламмацио се спациис флектенс нон спецификатарум
C32,subglottis maligna tumore (inordinatio),субглоттис малигна туморе (инординацио)
H66,"Suppurative Otitis media, non specificatarum","суппуративе отитис медиа, нон спецификатарум"
Q87,amputatis manuum ac pedum summitatibus brevis et abduxit,ампутатис мануум ак педум суммитатибус бревис ет абдукзит
Q87,Amputatis manuum ac pedum summitatibus brevis et abduxit,ампутатис мануум ак педум суммитатибус бревис ет абдукзит
Q74,"Spondyloepiphyseal Dysplasia, incoluere Omani ad Type","спондилепифисеал дисплазиа, инколуере омани ад типе"
Q78,"Osteopetrosis, autosomal dominant type II","остеопетрозис, аутозомал доминант типе II"
Q78,autosomal recessive type VI Osteopetrosis,аутозомал рецессиве типе VI остеопетрозис
Q78,autosomal recessive Osteopetrosis genus VII,аутозомал рецессиве остеопетрозис генус VII
Q82,"Xp4 XERODERMA Pigmentosum Caesar, prius","ксп4 кзеродерма пигментосум цаезар, приус"
Q82,"XERODERMA PIGMENTOSUM, EXEMPLUM disjunctus erit; XPV","кзеродерма пигментосум, екземплум дисйунктус ерит; кспв"
C22,Carcinoma prima extragonadal embryonal,карцинома прима екстрагонадал ембрионал
C71,Carcinoma prima extragonadal embryonal,карцинома прима екстрагонадал ембрионал
E01,IODUM defectus ex actis endemicae tumidum guttur,иодум дефектус екс актис ендемицае тумидум гуттур
E75,"Gerold lipofuscinosis, neuronal, II, CLN2","геролд липофусцинозис, неуронал, ии, клн2"
E75,"Osteochondrosis Gerold, Neuronal, typus XIII","остеохондрозис геролд, неуронал, типус XIII"
E75,"Gerold lipofuscinosis, neuronal, VI; CLN6","геролд липофусцинозис, неуронал, ви; клн6"
E75,"Gerold lipofuscinosis, neuronal, III, CLN3","геролд липофусцинозис, неуронал, иии, клн3"
E75,"Osteochondrosis Neuronal Gerold, Juvenile","остеохондрозис неуронал геролд, йувениле"
E75,"Osteochondrosis Gerold, Neuronal, typus XI","остеохондрозис геролд, неуронал, типус XI"
E75,"Gerold lipofuscinosis, neuronal: IX: CLN9","геролд липофусцинозис, неуронал: икс: клн9"
G11,autosomal dominant SPASTICUS LXXIII paraplegia,аутозомал доминант спастикус LXXIII параплегиа
G11,"SPASTICUS paraplegia VIII, autosomal dominant","спастикус параплегиа виии, аутозомал доминант"
G11,autosomal dominant SPASTICUS paraplegia 9A,аутозомал доминант спастикус параплегиа 9а
M25,Hemarthrosis est cruris (inordinatio),хемартрозис ест крурис (инординацио)
M25,Et brachium superius Hemarthrosis (inordinatio),ет брахиум супериус хемартрозис (инординацио)
Q87,"Osteogenesis imperfecta, PSEUDOGLIOMA hominis; OPPG","остеогенезис имперфекта, псеудоглиома хоминис; оппг"
N04,"microcoria naturali nephrosis syndrome,","микрокориа натурали нефрозис синдроме,"
N04,"Congenita Microcoria nephrotic syndrome,","конгенита микрокориа нефротик синдроме,"
E76,"Mucopolysaccharidosis, MPS-II (inordinatio)","мукополисакхаридозис, мпс-ии (инординацио)"
G71,"TOROSUS DYSTROPHIA cadaver uxoris-ZONARIUS, EXEMPLUM 1B","торосус дистрофиа кадавер укзорис-цонариус, екземплум 1б"
G71,"TOROSUS DYSTROPHIA cadaver uxoris-ZONARIUS, EXEMPLUM 1C","торосус дистрофиа кадавер укзорис-цонариус, екземплум 1к"
G71,"TOROSUS DYSTROPHIA cadaver uxoris-ZONARIUS, EXEMPLUM 1F","торосус дистрофиа кадавер укзорис-цонариус, екземплум 1ф"
P53,Cruentaque Natum defectus in Vitaminum K,круентакве натум дефектус ин витаминум к
P83,MILUINA in infantibus recens pectus (inordinatio),милуина ин инфантибус реценс пектус (инординацио)
E20,"Hypoparathyreoidismus, idiopathica (subtype)","хипопаратиреоидизмус, идиопатика (субтипе)"
N03,Membranaceo glomerulonephritis (inordinatio),мембранацео гломерулонефритис (инординацио)
Q87,Nervorum resolutiones Moebius naturali oculofacial,нерворум резолуционес мебиус натурали окулофациал
D44,Glandularum endocrinarum multa neoplasia Domini High Definition (s),гландуларум ендокринарум мулта неоплазиа домини хигх дефиницион (с)
E10,"Diabete Mellitus, insulin-dependens, X","диабете мелитус, инзулин-депенденс, X"
E10,"Diabete Mellitus, insulin-dependens, XI","диабете мелитус, инзулин-депенденс, XI"
E10,"Diabete Mellitus, insulin-dependens, XII","диабете мелитус, инзулин-депенденс, XII"
E10,"Diabete Mellitus, insulin-dependens, XIII","диабете мелитус, инзулин-депенденс, XIII"
E10,"Diabete Mellitus, insulin-dependens, XV","диабете мелитус, инзулин-депенденс, XV"
E10,"Diabete Mellitus, insulin-dependens, XVII","диабете мелитус, инзулин-депенденс, XVII"
E10,"Diabete Mellitus, insulin-dependens, XVIII","диабете мелитус, инзулин-депенденс, XVIII"
E10,"Diabete Mellitus, insulin-dependens, XIX","диабете мелитус, инзулин-депенденс, XIX"
E10,"Diabete Mellitus, insulin-dependens, XX","диабете мелитус, инзулин-депенденс, XX"
E10,"Diabete Mellitus, insulin-dependens, XXI","диабете мелитус, инзулин-депенденс, XXI"
E10,"Diabete Mellitus, insulin-dependens, XXII","диабете мелитус, инзулин-депенденс, XXII"
E10,"Diabete Mellitus, insulin-dependens, XXIII","диабете мелитус, инзулин-депенденс, XXIII"
E10,"Diabete Mellitus, insulin-dependens, XXIV","диабете мелитус, инзулин-депенденс, XXIV"
G11,autosomal dominant SPASTICUS X paraplegia,аутозомал доминант спастикус X параплегиа
H18,cornea secundarium OEDEMA [dup] (inordinatio),корнеа секундариум едема [дуп] (инординацио)
H04,Luxatio glandulae lacrimalis (inordinatio),лукзацио гландуле лакрималис (инординацио)
O43,Foetus in co-geminae impetu sanguinis (inordinatio),фетус ин ко-гемине импету сангвинис (инординацио)
Q82,"Malformationes congenitales capillaribus, Congenita; CM","малформационес конгениталес капиларибус, конгенита; CM"
Q87,Malformationes congenitales cum aliis cryptophthalmos,малформационес конгениталес кум алиис криптофталмос
G71,"TOROSUS DYSTROPHIA cadaver uxoris-ZONARIUS, EXEMPLUM 1H","торосус дистрофиа кадавер укзорис-цонариус, екземплум 1х"
G71,"muscular dystrophy cadaver uxoris, et cingulo genus 2L","мускулар дистрофи кадавер укзорис, ет цингуло генус 2л"
G71,"muscular dystrophy cadaver uxoris, et cingulo typus 2G","мускулар дистрофи кадавер укзорис, ет цингуло типус 2г"
G71,"Musculus Dystrophy,-membrum Ionathas tunica, 2M Typus","мускулус дистрофи,-мембрум ионатас туника, 2м типус"
G71,"Musculus Dystrophy,-membrum Ionathas tunica, 2O Typus","мускулус дистрофи,-мембрум ионатас туника, 2о типус"
M42,Osteochondrosis de Iuvenalibus Scheurermann,остеохондрозис де иувеналибус схеурерманн
E85,Associated periodica Cryopyrin-II Domini High Definition,ассоциатед периодика криопирин-ии домини хигх дефиницион
C62,malignum testis undescended,малигнум тестис ундесцендед
H18,Pigmentation cornee anterius (inordinatio),пигментацион корнее антериус (инординацио)
N50,vascularium inordinatio organorum genitalium masculinorum,васкулариум инординацио органорум гениталиум маскулинорум
C51,"malignum vulvae salubre est, non specificatarum","малигнум вулве салубре ест, нон спецификатарум"
N60,Fibrocystic pectus morbus est (inordinatio),фиброцистик пектус морбус ест (инординацио)
E74,Fructose-I-defectus PHOSPHATE Aldolase,фруктозе-и-дефектус фосфате алдолазе
C71,"malignum, contextum illum","малигнум, контекстум илум"
T88,hyperpyrexia aspersos maculis debitum ad anesthesia,хиперпирекзиа асперзос макулис дебитум ад анестезиа
J99,"Aspergillosis, allergic bronchopulmonales","аспергилозис, алергик бронхопулмоналес"
B44,"Aspergillosis, allergic bronchopulmonales","аспергилозис, алергик бронхопулмоналес"
E80,III minus tumor Uroporphyrinogen,III минус тумор уропорфириноген
E80,Erythropoietic protoporphyria (inordinatio),еритропоиетик протопорфириа (инординацио)
Q76,"autosomal dominant Klippel ceciderunt syndrome,","аутозомал доминант клиппел цецидерунт синдроме,"
L50,Longos URTICARIA cum macroglobulinemia,лонгос уртикариа кум макроглобулинемиа
N44,Torsionis purgatarum testis est incerta (inordinatio),торзионис пургатарум тестис ест инцерта (инординацио)
K59,Megacolon non est Hirschsprung (inordinatio),мегаколон нон ест хирсхспрунг (инординацио)
E88,Myoclonus rufus et rarum fibris morbi comitialis,миоклонус руфус ет рарум фибрис морби комициалис
G71,Myoclonus rufus et rarum fibris morbi comitialis,миоклонус руфус ет рарум фибрис морби комициалис
Q87,11p parte Monosomía syndrome (inordinatio),11п парте монозомíа синдроме (инординацио)
C10,oropharynx maligna tumore (inordinatio),орофаринкс малигна туморе (инординацио)
Q25,Patent ductus arteriosus familiaria (genus),патент дуктус артериосус фамилиариа (генус)
E75,"De Bogaertâ € ""Schererâ €"" syndrome Erasmus","де богертâ € ""схерерâ €"" синдроме еразмус"
F20,paranoid genus euenit in remissiónem,параноид генус еуенит ин ремиссиóнем
E79,syndromic X-XVIII coniunctum mentis retardatio,синдромик кс-ксвиии кониунктум ментис ретардацио
G31,subacutis Fascitis encephalomyelopathy,субакутис фасцитис енцефаломиелопати
G11,"SPASTICUS paraplegia IV, autosomal dominant","спастикус параплегиа ив, аутозомал доминант"
E78,hyperchylomicronemia familiaria (inordinatio),хиперхиломикронемиа фамилиариа (инординацио)
K90,Corynebacterium situ vasta syndrome (inordinatio),коринебактериум ситу васта синдроме (инординацио)
N04,Congenita nephrotic syndrome (inordinatio),конгенита нефротик синдроме (инординацио)
C93,Iuvenalibus longos myelomonocytic leukemia,иувеналибус лонгос миеломоноцитик леукемиа
E71,autosomal recessive opticus ATROPHIA type III,аутозомал рецессиве оптикус атрофиа типе III
G11,"SPASTICUS ataxia, Charlevoix Saguenay-FORMA","спастикус атакзиа, харлевоикс сагуенаи-форма"
N25,vasopressin repugnans diabete insipidus,вазопрессин репугнанс диабете инзипидус
E21,benignae hypercalcemia familiaria (inordinatio),бенигне хиперкалцемиа фамилиариа (инординацио)
G71,TOROSUS OCULOPHARYNGEAL DYSTROPHIA; OPMD,торосус окулофарингеал дистрофиа; опмд
E74,I phosphate aldolase defectus fructose,I фосфате алдолазе дефектус фруктозе
H50,Tempus manifesto LIMUS (inventum),темпус манифесто лимус (инвентум)
M48,lascivae orationis idiopathica Osseus hyperostosis,ласциве орационис идиопатика оссеус хиперостозис
Q84,nonsyndromic congenita inordinationem X clavus,нонсиндромик конгенита инординационем X клавус
H18,post cornee polymorphous dystrophy,пост корнее полиморфоус дистрофи
H18,subepithelial mucinous cornea dystrophy,субепителиал муциноус корнеа дистрофи
Q82,autosomal recessive laxa cutis type III,аутозомал рецессиве лакза кутис типе III
Q82,autosomal recessive laxa cutis type Australia,аутозомал рецессиве лакза кутис типе аустралиа
B00,Herpesvirus hominis meningoencephalitis,херпесвирус хоминис менингенцефалитис
G05,Herpesvirus hominis meningoencephalitis,херпесвирус хоминис менингенцефалитис
Q92,Homo 17q21.31 duplicatione syndrome,хомо 17к21.31 дупликационе синдроме
Q75,mandibulofacial dysostosis cum CALVITIES,мандибулофациал дисостозис кум калвициес
H90,autosomal dominant auditorio I neuropathia,аутозомал доминант аудиторио I неуропатиа
I68,Quod haereditarium cystatin C amyloideae angiopathy,квод хередитариум цистатин C амилоидее ангиопати
E85,Quod haereditarium cystatin C amyloideae angiopathy,квод хередитариум цистатин C амилоидее ангиопати
H16,punctatis epithelial keratoconjunctivitis,пунктатис епителиал кератоконйунктивитис
G24,autosomal recessive morbo XIV Parkinson,аутозомал рецессиве морбо XIV паркинзон
M62,arthrogryposis ex muscular dystrophy,артрогрипозис екс мускулар дистрофи
H90,autosomal dominant nonsyndromic surditas,аутозомал доминант нонсиндромик сурдитас
E74,"pornographia, intolerantia syndrome hereditarium fructose","порнографиа, интолеранциа синдроме хередитариум фруктозе"
H04,ubi inflammatione chronica correptis lacrimalis,уби инфламмационе хроника коррептис лакрималис
D84,complent et defectus typus pars VIII,комплент ет дефектус типус парс VIII
I78,Osler hemorrhagic telangiectasia syndrome,ослер хеморрагик телангиектазиа синдроме
G71,"Myopathy, Myofibrillar, Filamin C-Related","миопати, миофибрилар, филамин к-релатед"
E78,"Hypercholesterolemia, autosomal recessive","хиперхолестеролемиа, аутозомал рецессиве"
E80,"Berne metabolismi inordinatio, et a porphyrin","берне метаболизми инординацио, ет а порфирин"
E71,dihydrolipoamide dehydrogenase,дихидролипоамиде дехидрогеназе
J84,Quod haereditarium pulmonis alveolaris proteinosis,квод хередитариум пулмонис алвеоларис протеинозис
Q28,Arteriovenous cerebri malformationï¼šAVM,артериовеноус церебри малформационï¼šавм
H49,Musculus rectus lateralis Denervation paresis,мускулус ректус латералис денервацион парезис
C88,"Lymphoma, MUCOSA-FORMA lymphatici SOCIUS","лимфома, мукоза-форма лимфатици социус"
I95,orthostatic eget tachycardia syndrome,ортостатик егет тахикардиа синдроме
C22,Carcinoma adulta prima cholangiocellular,карцинома адулта прима холангиоцелулар
I71,Haec habuimus ostium ruptis thoracoabdominal,хек хабуимус остиум руптис торакоабдоминал
N75,Duct of Bartholin CYSTA est glandula (inordinatio),дукт оф бартолин циста ест гландула (инординацио)
H34,LAQUEUS pede vena centralis (inordinatio),лаквеус педе вена централис (инординацио)
G71,Glioblastoma cum Sarcomatous Component,глиобластома кум саркоматоус компонент
C49,Prima Rhabdoid Neoplasma malignum apparet ingenium,прима рабдоид неоплазма малигнум аппарет ингениум
C49,Prima ex maligno Rhabdoid tumor apparet ingenium,прима екс малигно рабдоид тумор аппарет ингениум
C67,Adnexa Neoplasma malignum vesicae urinariae,аднекза неоплазма малигнум везицае уринарие
Q42,De LAQUEUS pueriles aut congenita ano est,де лаквеус пуерилес аут конгенита ано ест
E31,"Nodi, mucosal: In glandularum endocrinarum Usu","ноди, мукозал: ин гландуларум ендокринарум усу"
D44,"Nodi, mucosal: In glandularum endocrinarum Usu","ноди, мукозал: ин гландуларум ендокринарум усу"
A69,S angina Vincent - PHARYNGITIS (inordinatio),с ангина винцент - фарингитис (инординацио)
G72,Nervorum resolutiones Hypokalemic periodica (inordinatio),нерворум резолуционес хипокалемик периодика (инординацио)
J44,longos pulmonis obstructivus morbo inordinatio,лонгос пулмонис обструктивус морбо инординацио
J80,"Adult respiratoriae pugnes syndrome, ARDS","адулт респираторие пугнес синдроме, ардс"
E25,Congenita glandula hyperplasia (inordinatio),конгенита гландула хиперплазиа (инординацио)
Q21,Type ostium secundum atrial septal defect,типе остиум секундум атриал септал дефект
B27,Gammaherpesviral Mononucleosis (inordinatio),гаммахерпесвирал мононуклеозис (инординацио)
F60,in passione existens instabilis personalitatem inordinatio,ин пассионе екзистенс инстабилис перзоналитатем инординацио
P55,Morbus est aut cum sequelis ad fetum Hemolytic Natum,морбус ест аут кум секвелис ад фетум хемолитик натум
K14,hypertrophy de lingua papillas (inordinatio),хипертрофи де лингва папилас (инординацио)
Q78,Osteocondrodisplasia syndrome (inordinatio),остеокондродисплазиа синдроме (инординацио)
C46,Herpesvirus lymphadenopathic Africae scriptor SARCOMA,херпесвирус лимфаденопатик африцае скриптор саркома
C96,Langerhan scriptor cell Histiozytosis (inordinatio),лангеран скриптор цел хистиоцитозис (инординацио)
J15,peripleumonicis fecit per Moraxella catarrhalis,периплеумоницис фецит пер моракзела катарралис
E79,Defectus Uridine monophosphate Synthase,дефектус уридине монофосфате синтазе
G98,Neurology. Morbi systematis nervosi,неурологи. морби систематис нервози
G00,Neurology. Morbi systematis nervosi,неурологи. морби систематис нервози
C32,"malignum, laryngis cartilagines","малигнум, ларингис картилагинес"
I73,Thromboangiitis obliterans NOS (inordinatio),тромбоангиитис облитеранс нос (инординацио)
C81,Subdiaphragmatic gradu ego Hodgkin lymphoma,субдиафрагматик граду его ходгкин лимфома
G04,Postvaccinal encephalomyelitis (inordinatio),поствакцинал енцефаломиелитис (инординацио)
G52,Plures nervi paralytici (inordinatio),плурес нерви паралитици (инординацио)
D25,Intramural leiomyoma inflammatoriae uteri cervice (inordinatio),интрамурал леиомиома инфламматорие утери цервице (инординацио)
H10,Contact blepharoconjunctivitis (inordinatio),контакт блефароконйунктивитис (инординацио)
G60,IV hereditarium motoricas sensilesque Neuropathy,IV хередитариум моторикас сензилескве неуропати
H16,Diffuse interstitialibus keratitis (inordinatio),диффузе интерстициалибус кератитис (инординацио)
H18,Cornea pigmentation Posteriorum (inordinatio),корнеа пигментацион постериорум (инординацио)
C31,Malignum in Sinus maxillaris,малигнум ин синус макзиларис
A68,"Tick ??cursum derigerent, n revolvor febrem (inordinatio)","тикк ??курзум деригерент, н револвор фебрем (инординацио)"
C31,Malignum in Sinus Ethmoidal,малигнум ин синус етмоидал
G11,"SPASTICUS paraplegia VII, autosomal recessive","спастикус параплегиа вии, аутозомал рецессиве"
A81,"Amyloid Angiopathy cerebri, Prnp-Related","амилоид ангиопати церебри, прнп-релатед"
C56,Neoplasma malignum Quo Magni Commen Cell de germine,неоплазма малигнум кво магни коммен цел де гермине
Q87,Telecanthus consociata cum abnormitates,телекантус конзоциата кум абнормитатес
E85,TNF receptor-Associated periodica Domini High Definition,тнф рецептор-ассоциатед периодика домини хигх дефиницион
G11,autosomal recessive SPASTICUS XX paraplegia,аутозомал рецессиве спастикус XX параплегиа
Q79,Ehlers-Danlos genus 6B syndrome (formerly),ехлерс-данлос генус 6б синдроме (формерли)
Q79,"Ehlers-Danlos syndrome, type I (inordinatio)","ехлерс-данлос синдроме, типе I (инординацио)"
Q79,"Ehlers-Danlos syndrome, genus III (inordinatio)","ехлерс-данлос синдроме, генус III (инординацио)"
Q87,polysyndactyly in figura cranii peculiars,полисиндактили ин фигура крании пекулиарс
C51,malignum clitoridis (inordinatio),малигнум клиторидис (инординацио)
H10,Versio blepharoconjunctivitis (inordinatio),верзио блефароконйунктивитис (инординацио)
B67,Iecoris echinococcus non specificatarum (inordinatio),иекорис ехинококкус нон спецификатарум (инординацио)
N18,longos renum defectum syndrome (inordinatio),лонгос ренум дефектум синдроме (инординацио)
D48,Colorectal cancer hereditarium Nonpolyposis,колоректал канцер хередитариум нонполипозис
M27,giant media cellula (satisfactorium) granuloma intracraniale,гиант медиа целула (сатисфакториум) гранулома интракраниале
I09,longis ARTICULARIS pericarditis (inordinatio),лонгис артикуларис перикардитис (инординацио)
H68,Tuba Eustachiana longos salpingitis (inordinatio),туба еустахиана лонгос салпингитис (инординацио)
H40,"Claustrum GLAUCOMA angulum prima, (inordinatio)","клауструм глаукома ангулум прима, (инординацио)"
C68,malignum glandulae tumorem Paraurethral,малигнум гландуле туморем парауретрал
J45,Suspiriosis est status asthmaticus (inordinatio),суспириозис ест статус астматикус (инординацио)
J46,Suspiriosis est status asthmaticus (inordinatio),суспириозис ест статус астматикус (инординацио)
L72,"Keratoakanthom multa, Muir Tunis-genus","кератоакантом мулта, муир тунис-генус"
E56,Deficit Vitamin K Bacteria inordinatio,дефицит витамин к бактериа инординацио
H18,"Sagittarius Peritus cornea Dystrophy de Leyr, I Typus","сагиттариус перитус корнеа дистрофи де леир, I типус"
H18,"Cornea DYSTROPHIA, LISCH epithelial; LECD","корнеа дистрофиа, лисх епителиал; лекд"
H18,Sagittarius Peritus type II ordines a cornea dystrophy,сагиттариус перитус типе II ординес а корнеа дистрофи
H18,"Sagittarius Peritus cornea Dystrophy de Leyr, Typus II","сагиттариус перитус корнеа дистрофи де леир, типус II"
D46,Salire ad 5q Myelodysplastic Domini High Definition,салире ад 5к миелодиспластик домини хигх дефиницион
B67,Echinococcus granulosus de pulmone infectio,ехинококкус гранулосус де пулмоне инфекцио
L12,Epidermólisis vesicular acquisita (inordinatio),епидермóлизис везикулар акквизита (инординацио)
A48,"Parvulus intestinorum botulism toxin mediata,","парвулус интестинорум ботулисм токзин медиата,"
A05,"Parvulus intestinorum botulism toxin mediata,","парвулус интестинорум ботулисм токзин медиата,"
C34,Lupus Carcinoma Non Parvus pathologica pulmonis-Cell / immunology,лупус карцинома нон парвус патологика пулмонис-цел / иммунологи
Q80,Epidermolytic palmoplantar Hyperkeratose,епидермолитик палмоплантар хиперкератозе
D44,Id # Célula SARCOMA et CARDIACUS,Id # кéлула саркома ет кардиакус
Q79,Agenesis syndrome est de abdominis musculi,агенезис синдроме ест де абдоминис мускули
E55,Vitaminum D-deficiens hydroxylation rickets,витаминум д-дефициенс хидроксилацион риккетс
L60,"CLAVUS inordinatio, NONSYNDROMIC Congenita, I","клавус инординацио, нонсиндромик конгенита, I"
G11,In I seu Myokymia sine Hypomagnesemia,ин I сеу миокимиа сине хипомагнеземиа
D75,autosomal recessive benignae erythrocytosis,аутозомал рецессиве бенигне еритроцитозис
C44,Folia basalia Carcinoma in Colitis pellem,фолиа базалиа карцинома ин колитис пелем
G60,V GENTILIS motoricas sensilesque neuropathia,V гентилис моторикас сензилескве неуропатиа
H18,nodular degeneratum corneae (inordinatio),нодулар дегенератум корнее (инординацио)
L50,Familia frigoris AUTOINFLAMMATORY SYNDROME IV,фамилиа фригорис аутоинфламматори синдроме IV
E72,hypermethioninemia ex defectu GNMT,хиперметионинемиа екс дефекту гнмт
E74,Glycogen storage morbum EXEMPLUM ixd; GSD9D,гликоген стораге морбум екземплум иксд; гсд9д
C25,Cerebrum de tunica Cystadenocarcinoma,церебрум де туника цистаденокарцинома
I05,longis ARTICULARIS mitral CYMBALON ibi (inordinatio),лонгис артикуларис митрал цимбалон иби (инординацио)
C45,Mesothelioma legis malignum in pericardium edere,мезотелиома легис малигнум ин перикардиум едере
C56,Humana malignas Quo Magni Commen Cell Teratoma de germine,хумана малигнас кво магни коммен цел тератома де гермине
C69,conjunctivae maligna tumore (inordinatio),конйунктиве малигна туморе (инординацио)
M11,Tejido calcinosis cum hyperphosphatemia,тейидо калцинозис кум хиперфосфатемиа
N04,Arx Segmental Glomerulosclerosis type II,аркс сегментал гломерулосклерозис типе II
N04,arx glomerulosclerosis type V pulmonalis,аркс гломерулосклерозис типе V пулмоналис
N04,arx glomerulosclerosis type VI pulmonalis,аркс гломерулосклерозис типе VI пулмоналис
N04,Arx Segmental Glomerulosclerosis genus VII,аркс сегментал гломерулосклерозис генус VII
N04,arx pulmonalis glomerulosclerosis genus VIII,аркс пулмоналис гломерулосклерозис генус VIII
N04,Arx Segmental Glomerulosclerosis genus IX,аркс сегментал гломерулосклерозис генус IX
H18,corneae a crystallino dystrophy Schnyder,корнее а кристалино дистрофи схнидер
C24,Neoplasma malignum extrahepatic duct,неоплазма малигнум екстрахепатик дукт
G11,SPASTICUS hereditate controversia nati quadriplegia,спастикус хередитате контроверзиа нати квадриплегиа
Q93,Triticum 15Q13.3 Microdeletion Domini High Definition,тритикум 15к13.3 микроделецион домини хигх дефиницион
H18,"Cornea DYSTROPHIA, SUBEPITHELIAL MUCINOUS","корнеа дистрофиа, субепителиал муциноус"
C21,Plattenepithelkarzinom et canalis analis,платтенепителкарцином ет каналис аналис
N36,"ostium urethrae inordinationem, non specificatus (inordinatio)","остиум уретре инординационем, нон спецификатус (инординацио)"
C21,Adenocarcinoma surgentes ani mucosae,аденокарцинома сургентес ани мукозе
C53,Plattenepithelkarzinom cervicis uteri,платтенепителкарцином цервицис утери
C71,Chordoid glioma (morphologic deprauationem),хордоид глиома (морфологик депрауационем)
C63,malignum organorum genitalium masculinorum,малигнум органорум гениталиум маскулинорум
C60,malignum organorum genitalium masculinorum,малигнум органорум гениталиум маскулинорум
B38,prima extrapulmonary coccidioidomycosis,прима екстрапулмонари кокцидиоидомикозис
Q87,"Mentis retardatio, XXV autosomal dominant","ментис ретардацио, XXV аутозомал доминант"
F84,Autistic features et mentis retardatio,аутистик феатурес ет ментис ретардацио
C05,mollis maligna tumore palatum (inordinatio),молис малигна туморе палатум (инординацио)
C53,Ceruicis MÃ¼llerian mixta maligna tumore,церуицис мã¼лериан микста малигна туморе
Q24,Infundibularis pulmonaris stenosis (inordinatio),инфундибуларис пулмонарис стенозис (инординацио)
H30,"Disseminata chorioretinitis chronicus, non specificatus","диссемината хориоретинитис хроникус, нон спецификатус"
D01,Carcinoma in situ colonia NOS (inordinatio),карцинома ин ситу колониа нос (инординацио)
C08,malignum glandulae salivaris duct,малигнум гландуле саливарис дукт
K00,Amelogenesis imperfecta loci Hypoplastic,амелогенезис имперфекта лоци хипопластик
K00,Locus Hypoplastic imperfecta amelogenesis,локус хипопластик имперфекта амелогенезис
E75,neuronal ceroid lipofuscinosis (inordinatio),неуронал цероид липофусцинозис (инординацио)
D15,Generis A Prima thymic epithelial Neoplasma malignum,генерис а прима тимик епителиал неоплазма малигнум
C37,Generis A Prima thymic epithelial Neoplasma malignum,генерис а прима тимик епителиал неоплазма малигнум
D15,Prima thymic epithelial Neoplasma malignum type B,прима тимик епителиал неоплазма малигнум типе б
C37,Prima thymic epithelial Neoplasma malignum type B,прима тимик епителиал неоплазма малигнум типе б
C72,Neoplasma malignum systematis nervosi centralis (morbus),неоплазма малигнум систематис нервози централис (морбус)
O26,Herpesvirus hominis non specificatarum Gestationis (inordinatio),херпесвирус хоминис нон спецификатарум гестационис (инординацио)
C10,malignum ossis depressa epiglottide,малигнум оссис депресса епиглоттиде
H53,Congenita nocte caecitas NOS (morbi),конгенита нокте цаецитас нос (морби)
H53,Noctis caecitatem hereditariam NOS (morbi),ноктис цаецитатем хередитариам нос (морби)
G11,Autosomal dominant occrebellaris ataxia,аутозомал доминант оккребеларис атакзиа
Q12,autosomal recessive naturali cataracta III,аутозомал рецессиве натурали катаракта III
C08,malignum glandulae submandibularis,малигнум гландуле субмандибуларис
G35,Generativus multiple lumbos (inordinatio),генеративус мултипле лумбос (инординацио)
E72,"Citrulline aspartate Synthetase defectus,","цитрулине аспартате синтетазе дефектус,"
Q87,"Mentis retardatio, autosomal dominant XVIII","ментис ретардацио, аутозомал доминант XVIII"
