
диагноза,ICD
първична цилиарна дискинезия тип 3,Q34
CILD29,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 29,Q34
Цилиарна дискинезия, първична, 29, без Situs Inversus,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 29; CILD29,Q34
Цилиарна дискинезия, първична, тип 29,Q34
първична цилиарна дискинезия 29 без situs inversus,Q34
първична цилиарна дискинезия тип 29,Q34
CILD32,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 32,Q34
Цилиарна дискинезия, първична, 32, без Situs Inversus,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 32; CILD32,Q34
Цилиарна дискинезия, първична, тип 32,Q34
първична цилиарна дискинезия 32 без situs inversus,Q34
първична цилиарна дискинезия тип 32,Q34
CILD12,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 12,Q34
Цилиарна дискинезия, първична, 12, без Situs Inversus,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 12; CILD12,Q34
Цилиарна дискинезия, първична, тип 12,Q34
първична цилиарна дискинезия 12 без situs inversus,Q34
първична цилиарна дискинезия тип 12,Q34
CILD11,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 11,Q34
Цилиарна дискинезия, първична, 11, без Situs Inversus,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 11; CILD11,Q34
Цилиарна дискинезия, първична, тип 11,Q34
първична цилиарна дискинезия 11 без situs inversus,Q34
първична цилиарна дискинезия тип 11,Q34
CILD6,Q34
CILIARY DYSKINESIA, PRIMARY, 6,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 6; CILD6,Q34
Цилиарна дискинезия, първична, тип 6,Q34
първична цилиарна дискинезия тип 6,Q34
CILD28,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 28,Q34
Цилиарна дискинезия, първична, 28, със или без Situs Inversus,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 28; CILD28,Q34
Цилиарна дискинезия, първична, тип 28,Q34
първична цилиарна дискинезия 28 със или без situs inversus,Q34
първична цилиарна дискинезия тип 28,Q34
CILD18,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 18,Q34
Цилиарна дискинезия, първична, 18, със или без Situs Inversus,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 18; CILD18,Q34
Цилиарна дискинезия, първична, тип 18,Q34
първична цилиарна дискинезия 18 със или без situs inversus,Q34
първична цилиарна дискинезия тип 18,Q34
CILD7,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 7,Q34
Цилиарна дискинезия, първична, 7, със или без Situs Inversus,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 7; CILD7,Q34
Цилиарна дискинезия, първична, тип 7,Q34
първична цилиарна дискинезия 7 със или без situs inversus,Q34
първична цилиарна дискинезия тип 7,Q34
CILD19,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 19,Q34
Цилиарна дискинезия, първична, 19, със или без Situs Inversus,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 19; CILD19,Q34
Цилиарна дискинезия, първична, тип 19,Q34
първична цилиарна дискинезия 19 със или без situs inversus,Q34
първична цилиарна дискинезия тип 19,Q34
CILD23,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 23,Q34
Цилиарна дискинезия, първична, 23, със или без Situs Inversus,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 23; CILD23,Q34
Цилиарна дискинезия, първична, тип 23,Q34
първична цилиарна дискинезия 23 със или без situs inversus,Q34
първична цилиарна дискинезия тип 23,Q34
CILD16,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 16,Q34
Цилиарна дискинезия, първична, 16, със или без Situs Inversus,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 16; CILD16,Q34
Цилиарна дискинезия, първична, тип 16,Q34
първична цилиарна дискинезия 16 със или без situs inversus,Q34
първична цилиарна дискинезия тип 16,Q34
CILD4,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 4,Q34
Цилиарна дискинезия, първична, 4, със или без Situs Inversus,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 4; CILD4,Q34
първична цилиарна дискинезия 4 със или без situs inversus,Q34
първична цилиарна дискинезия тип 4,Q34
CILD27,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 27,Q34
Цилиарна дискинезия, първична, 27, без Situs Inversus,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 27; CILD27,Q34
Цилиарна дискинезия, първична, тип 27,Q34
първична цилиарна дискинезия 27 без situs inversus,Q34
първична цилиарна дискинезия тип 27,Q34
CILD10,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 10,Q34
Цилиарна дискинезия, първична, 10, със или без Situs Inversus,Q34
ЦИЛИАРНА ДИСКИНЕЗИЯ, ПЪРВИЧНА, 10; CILD10,Q34
Цилиарна дискинезия, първична, тип 10,Q34
първична цилиарна дискинезия 10 със или без situs inversus,Q34
първична цилиарна дискинезия тип 10,Q34
CILD25,Q34
CHHF,A96
Покланяне на бедрените кости, аплазия или хипоплазия на фибулата и дигитални аномалии,Q74
ФИБУЛЯРНА АПЛАЗИЯ ИЛИ ХИПОПЛАЗИЯ, ФЕМОРАЛНО ПОЛЗВАНЕ И ПОЛИ-, СИН- И ОЛИГОДАКТИЛНО,Q74
Фибуларна хипоплазия или синдром на аплазия-феморален поклон-олигодактилия,Q74
Синдром на Фурман,Q74
Синдром на Fuhrmann-Rieger-de Sousa,Q74
Клифт на небцето-Потър последователност-вродени сърдечни аномалии - мезоаксиална полидактилия-синдром на множество малформации,Q87
Синдром на Холцгрев,Q87
Синдром на Холцгрев Вагнер Рехдер,Q87
болест на минералния метаболизъм,E83
нарушение на минералния метаболизъм,E83
Чревен колонизационен ботулизъм,A05
Ботулизъм на чревната токсикомия,A05
Чревен токсин, медииран ботулизъм,A05
инхалационен антракс,A22
Инхалационна антраксна болест,A22
белодробен антракс,A22
дихателен антракс,A22
Респираторна антраксна болест,A22
болест на сортиране на вълна,A22
туберкулоза на фалопиевата тръба,A18
Лухо треска,A96
Замбийска хеморагична треска,A96
Лакримо-аурикуло-денто-дигитален синдром,Q87
Лакримоаурикулоденто-дигитален синдром,Q87
лакримоаурикулодентодигитален синдром,Q87
ЛАКРИМОАУРИКУЛОДЕНТИДИГИТАЛЕН СИНДРОМ; Лад,Q87
Лакримоаурикулорадиодентален синдром,Q87
Лад,Q87
LARD синдром,Q87
Синдром на Леви Холистър,Q87
ЛИВО-ХОЛИСТЪР СИНДРОМ,Q87
Интоксикационен ботулизъм,A05
Кожен инфекциозен ботулизъм,A48
Ботулизъм, причинен от кожни токсини,A48
Инокулационен ботулизъм,A48
Кожен инфекциозен ботулизъм,A48
Ботулизъм, причинен от кожен токсин,A48
Кожен инфекциозен ботулизъм,A05
Ботулизъм, причинен от кожни токсини,A05
Инокулационен ботулизъм,A05
Кожен инфекциозен ботулизъм,A05
Ботулизъм, причинен от кожен токсин,A05
RCC,C64
хипернефрона,C64
Аденокарцином на бъбреците,C64
CCRCC,C64
Ясен клетъчен аденокарцином на бъбречната клетка,C64
Ясен клетъчен бъбречно-клетъчен карцином,C64
Непапиларен бъбречен карцином 1 Локус,C64
КАРЦИНОМА НА ОТГОВОРЕНА КЛЕТКА, НЕПАПИЛИАРНА,C64
КАРЦИНОМА НА ОТГОВОРЕНА КЛЕТКА, НЕПАПИЛИАРНА; RCC,C64
C3 ДЕФИЦИЕНТА НА ИНАКТИВАТОРА,D84
CFID,D84
ДОПЪЛНИТЕЛЕН КОМПОНЕНТ 3 ИНФОРМАЦИОННА ИНФОРМАЦИЯ,D84
ФАКТОР ЗА ИЗПЪЛНЕНИЕ И ДЕФИЦИЕНТИ,D84
ФАКТОР ЗА ИЗПЪЛНЕНИЕ I ДЕФИЦИЕНТНОСТ; CFID,D84
Имунодефицит с аномалия на фактор I,D84
перивентрикуларна хетеротопия,Q04
PVNH,Q04
Barmah Forest треска,B34
вродена есенциална никталопия,H53
Проксимална спинална мускулна атрофия тип 4,G12
SMA тип 4,G12
SMA тип IV,G12
SMA-IV,G12
SMA4,G12
СПИНАЛНА МУЗКУЛЯРНА АТРОФИЯ, ФОРМА ЗА ВЪЗРАСТНИ,G12
Спинална мускулна атрофия, проксимален, възрастен, автозомно рецесивен,G12
СПИНАЛНА МУЗКУЛЯРНА АТРОФИЯ, ТИП IV,G12
СПИНАЛНА МУЗКУЛЯРНА АТРОФИЯ, ТИП IV; SMA4,G12
SMA2,G12
Хронична инфантилна спинална мускулна атрофия,G12
Хронична спинална мускулна атрофия,G12
Болест на Дъбовиц,G12
Междинна спинална мускулна атрофия,G12
МУСКУЛАРНА АТРОФИЯ, СПИНАЛНА, ИНФАНТИЛНА ХРОНИЧНА ФОРМА,G12
МУСКУЛЯРНА АТРОФИЯ, СПИНАЛЕН, МЕЖДУНАРОДЕН ТИП,G12
Проксимална спинална мускулна атрофия тип 2,G12
Sma 2,G12
SMA тип 2,G12
SMA тип II,G12
SMA-II,G12
Спинална мускулна атрофия тип 2,G12
СПИНАЛНА МУЗКУЛЯРНА АТРОФИЯ, ТИП II,G12
СПИНАЛНА МУЗКУЛЯРНА АТРОФИЯ, ТИП II; SMA2,G12
46, XY нарушение на половото развитие-надбъбречна недостатъчност поради синдром на дефицит на CYP11A1,Q56
ДОПЪЛНИТЕЛНА БЕЗОПАСНОСТ, КОНГЕНИТАЛНА, С 46, XY SEX REVERSAL, ЧАСТИЧНА ИЛИ ПЪЛНА,Q56
P450scc ДЕФИЦИЕНТНОСТ,Q56
XY синдром на обръщане на секс-надбъбречна недостатъчност,Q56
Друга миелоидна левкемия,C92
Други миелоидна левкемия (разстройство),C92
Други миелоидна левкемия (морфологична аномалия),C92
Други миелоидна левкемия в ремисия,C92
Друга миелоидна левкемия NOS (разстройство),C92
Друга миелоидна левкемия NOS (морфологична аномалия),C92
Други миелоидни левкемии без споменаване на ремисия,C92
Неопределена миелоидна левкемия в ремисия,C92
Неопределена миелоидна левкемия без споменаване на ремисия,C92
Charcot Marie Tooth заболяване тип 1С,G60
Болест на Шарко-Мари-зъб, демиелинизираща, тип 1С,G60
БОЛЕСТ НА ШАРКОТ-МАРИ-ЗЪРНО, ДЕМИЕЛИНИРАЩ, ТИП 1С; CMT1C,G60
Charcot-Marie-Tooth невропатия тип 1С,G60
Невропатия на Шарко-Мари-зъб, тип 1С,G60
CMT 1C,G60
CMT бавна нервна проводимост тип С,G60
Cmt, бавна нервна проводимост тип C,G60
CMT1C,G60
Hmsn 1С,G60
HMSN IC,G60
HMSN1C,G60
невропатия наследствена двигателна и сензорна тип 1С,G60
Невропатия, наследствена двигателна и сензорна, тип 1С,G60
NAM,G71
Синдром на вродена миопатия-цепнатост на небце-злокачествена хипертермия,G71
Миопатия, вродена, с разцепено небце и злокачествена хипертермия,G71
НАТИВНА АМЕРИКАНСКА МИОПАТИЯ,G71
НАТИВНА АМЕРИКАНСКА МИОПАТИЯ; NAM,G71
Глософарингеална невралгия,G52
глосо фарингеална невралгия,G52
невралгия на глософарингеален нерв,G52
Глософарингеална невралгия (разстройство),G52
Глосовазофарингеална невралгия,G52
PPAC,Q77
Прогресивна псевдоревматоидна дисплазия,Q77
АРТРОПАТИЯ, ПРОГРЕСИВЕН ПСЕУДОРХЕУМАТОИД НА ДЕТЕТО,Q77
АРТРОПАТИЯ, ПРОГРЕСИВЕН ПСЕУДОРХЕУМАТОИД НА ДЕТЕТО; PPAC,Q77
Прогресивна псевдоревматоидна артропатия на детството,Q77
Спондилоепифизна дисплазия Тарда с прогресивна артропатия,Q77
цервикална спондилоза с миелопатия,M47
цервикална спондилоза без миелопатия,M47
Дорсална спондилоза без миелопатия,M47
Спондилогенна компресия на шийния гръбначен мозък,M47
спондилоза и съюзническо разстройство,M47
Торакална спондилоза без миелопатия,M47
цервикална спондилоза с миелопатия (разстройство),M47
цервикална спондилоза без миелопатия (разстройство),M47
Лумбална спондилоза с миелопатия,M47
Лумбална спондилоза с миелопатия (разстройство),M47
лумбосакрална спондилоза без миелопатия,M47
Спондилогенно компресиране на лумбалния гръбначен мозък,M47
Спондилогенна компресия на гръден мозък на гръдния кош,M47
спондилоза с миелопатия,M47
Спондилоза с миелопатия (разстройство),M47
Торакална или лумбална спондилоза с миелопатия,M47
Торакална спондилоза без миелопатия (разстройство),M47
нарушение на кръвообращението от тромбоцитен тип 5,D69
QUEBEC PLATELET DISORDER,D69
QUEBEC PLATELET DISORDER; QPD,D69
Хипогликемична кома,E15
хипогликемична кома,E15
Хипогликемична кома (разстройство),E15
Хипогликемична кома (нарушение) [неясно],E15
Хипогликемична кома NOS (разстройство),E15
автозомно рецесивна дистрофична епидермолиза bullosa generalisata gravis,Q81
автозомно рецесивна дистрофична епидермолиза булоза, тип Hallopeau-Siemens,Q81
Hallopeau - болест на Сименс,Q81
RDEB, тип Hallopeau-Siemens,Q81
рецесивна дистрофична епидермолиза булоза,Q81
тежък генерализиран RDEB,Q81
тежка генерализирана рецесивна дистрофична епидермолиза булоза,Q81
RENS1,Q87
Синдром на Голаби-Ито-Хол,Q87
Умствена изостаналост, X-55,Q87
Умствена изостаналост, X-свързан, обновяващ се тип,Q87
Умствена изостаналост, X-свързана, синдром 3,Q87
Умствена изостаналост, X-свързана, синдром 8,Q87
Умствена изостаналост, свързана с X, със спастична диплегия,Q87
СИНДРОМ НА ВЪЗСТАНОВЯВАНЕ 1,Q87
ВЪЗСТАНОВЯВАЩ СИНДРОМ 1; RENS1,Q87
Синдром на обновяване тип 1,Q87
Синдром на умствена изостаналост, свързан със Съдърланд-Хаан,Q87
синдромна X-свързана умствена изостаналост 8,Q87
Х-свързано интелектуално увреждане поради PQBP1 мутации,Q87
Х-свързано интелектуално увреждане, тип обновяване,Q87
Х-свързана умствена изостаналост Тип обновяване,Q87
Х-свързано умствено изоставане със спастична диплегия,Q87
Рестриктивна дермопатия,Q82
Последователност на фетална хипокинезия поради рестриктивна дермопатия,Q82
синдром на хиперкератоза-контрактура,Q82
смъртоносна рестриктивна дермопатия,Q82
РЕСТРИКТИВНА ДЕРМОПАТИЯ, ЛЕТАЛ,Q82
синдром на стегната кожна контрактура,Q82
Синдром на стегнатата контракция, смъртоносен,Q82
RD,D81
Дефицит на AK2,D81
aleukocytosis,D81
Вродена алевкия,D81
Вродена алевкоцитоза,D81
Болест на Де Ваал,D81
DeVaal заболяване,D81
Генерализирана хематопоетична хипоплазия,D81
Хематопоетична хипоплазия, генерализирана,D81
Ретикуларна дигенезия,D81
Мултицентрична ретикулохистиоцитоза,Е78
Гигантска клетъчна хистиоцитоматоза,Е78
Липоиден дерматоартрит,Е78
Липоиден дерматоартрит (разстройство),Е78
Мултицентрична ретикулохистиоцитоза,D76
Гигантска клетъчна хистиоцитоматоза,D76
Липоиден дерматоартрит,D76
Липоиден дерматоартрит (разстройство),D76
LGMD2P,G71
MDDGC9,G71
мускулна дистрофия-дистрогликанопатия (крайник-пояс) тип С9,G71
МУСКУЛЯРНА ДИСТРОФИЯ-ДИСТРОГЛИЦАНОПАТИЯ (ЛЪГ-СЪСТОЯНИЕ), ТИП С, 9,G71
МУСКУЛЯРНА ДИСТРОФИЯ-ДИСТРОГЛИЦАНОПАТИЯ (ЛЪГ-СЪСТОЯНИЕ), ТИП С, 9; MDDGC9,G71
мускулна дистрофия-дистрогликанопатия крайник-пояс DAG1-свързана,G71
Мускулна дистрофия-дистрогликанопатия, крайник-пояс, свързан с Dag1,G71
Мускулна дистрофия, крайник-пояс, тип 2P,G71
LGMD2S,G71
мускулна дистрофия, крайник-пояс, тип 2S,G71
Рефракционна амблиопия,H53
Рефракционна амблиопия (разстройство),H53
Алергичен контактен дерматит,L23
Алергичен контактен дерматит (разстройство),L23
алергична форма на контактен дерматит,L23
сенсибилизационен дерматит,L23
чревна непроходимост,K56
DCBXA,E72
ДИКАРБОКСИЛНА АМИНОАЦИДУРИЯ,E72
ДИКАРБОКСИЛНА АМИНОАЦИДУРИЯ; DCBXA,E72
Dicarboxylicaminoaciduria,E72
глутамат-аспартатен транспортен дефект,E72
Bancroftian филариаза,В74
Инфекция от Wuchereria bancrofti (разстройство),В74
Инфекция поради Wuchereria bancrofti,В74
Wuchereria bancrofti инфекциозно заболяване,В74
Енцефалопатия, тежка епилептичност, с автономна дисфункция,Q87
Интелектуално увреждане, широка уста, отличителни черти на лицето и периодична хипервентилация, последвана от апнея,Q87
Умствена изостаналост, синдромална, с прекъсната хипервентилация,Q87
Синдром на Пит Хопкинс,Q87
ПИТТ-ХОПКИНСКИ СИНДРОМ,Q87
Синдром на PITT-HOPKINS; PTHS,Q87
PTHS,Q87
Фамилен хипогонадизъм с анозмия,E23
Дефицит на GnRH,E23
Хипогонадизъм с анозмия,E23
Хипогонадизъм с анозмия (разстройство),E23
Синдром на Калман,E23
Синдром на Калман,E23
Аденом на чернодробните клетки,D13
Аденом на чернодробните клетки,D13
ADENOMA, HEPATOCELLULAR, BENIGN,D13
HCA,D13
hepadenoma,D13
чернодробен аденом,D13
Хепатоцелуларен аденом,D13
Аденом на чернодробните клетки,D13
демиелинизиращо разстройство,G35
поява на възрастни болест на Стил,M06
Възрастен все още болест,M06
болест при възрастни Все още болест,M06
Възрастно заболяване на Стилс,M06
Скрабен тиф,A75
храстов тиф,A75
Рихтциоза, пренасяна от цигари,A75
Тигър, пренасян от цигари,A75
Японска речна треска,A75
Японска речна треска (разстройство),A75
Кедани треска,A75
Кедани треска (разстройство),A75
Рикетциоза, пренасяна от акари,A75
Тиф, пренесен от акари,A75
Скраб (пренасящ акара) тиф,A75
тиф, пренесен от акари,A75
Тиф, пренасян от акари (и различни видове),A75
Скрабен тиф (разстройство),A75
Скрабен тиф (разстройство) [неясно],A75
Тропически тиф,A75
Tsutsugamushi,A75
болест tsutsugamushi,A75
Цуцугамуши болест (разстройство),A75
Цуцугамуши треска,A75
Тиф треска поради Rickettsia tsutsugamushi,A75
менингит,G03
възпаление на менинкс,G03
meninxitis,G03
БКЯ,A81
CJD (болест на Кройцфелт Якоб),A81
Класическа болест на Кройцфелт-Якоб,A81
Синдром на Кройцфелт Яков,A81
Болест на Кройцфелт Якоб,A81
Болест на Кройцфелт-Яков,A81
Болест на Кройцфелт-Якоб,A81
Болест на Якоб-Кройцфелт,A81
Субакутна спонгиформна енцефалопатия,A81
Трансмисивна вирусна деменция,A81
Трансмисивна вирусна деменция (разстройство),A81
Ебола,A98
Болест на ебола,A98
Треска при ебола,A98
Хеморагична треска при ебола,A98
EHF,A98
EVD,A98
плеврит,R09
гестационна хипертония,Ø14
хипертония, предизвикана от бременност,Ø14
бременност, свързана с хипертония,Ø14
бременна токсемия,Ø14
Прееклампсията,Ø14
Прееклампсия или еклампсия, наложени върху съществуваща хипертония,Ø14
Прееклампсия, прееклампсия,Ø14
прееклампсова токсемия,Ø14
прееклампсия,Ø14
прееклампсия / еклампсия,Ø14
протеинурична хипертония на бременността,Ø14
токсемия на бременността,Ø14
фамилни хипоспадии,Q54
Тригеминална невралгия,G50
Tic Douloureux,G50
Ticdolereax,G50
Трифазна невралгия,G50
трифокална невралгия,G50
невралгия на тригеминалния нерв,G50
Тригеминална невралгия (разстройство),G50
Тригеминална невралгия [тук няма лекарства] (разстройство),G50
Тригеминална невралгия (нарушение),G50
Синдром на Brachmann de Lange,Q87
Синдром на Brachmann-de Lange,Q87
Синдром на Де Ланге,Q87
Парализа на лицевата нерва,G51
Звънна парализа,G51
HCC,C22
първичен хепатоцелуларен карцином за възрастни,C22
HCC за възрастни,C22
Хепатоцелуларен карцином за възрастни,C22
възрастен хепатом,C22
Възрастен първичен карцином на чернодробните клетки,C22
Възрастен първичен карцином на чернодробната клетка,C22
Първичен хепатом за възрастни,C22
Възрастен първичен карцином на чернодробните клетки,C22
Хепатоцелуларен рак,C22
Хепатоцелуларен карцином, HCC,C22
Хепатомът,C22
злокачествен хепатом,C22
Цистинова диатеза,E72
Цистинова болест,E72
Заболяване на цистин,E72
Cystinoses,E72
Цистиноза (разстройство),E72
Цистиноза (разстройство) [неясно],E72
Цистиноза [дуп] (разстройство),E72
Протеинов дефект на цистиновия транспорт,E72
фоточувствителност,G40
Епилепсия, Фотогенен,G40
Фотоконвулсивна реакция,G40
фотогенична епилепсия,G40
фотопароксизмална реакция,G40
ФОТОПАРОКСИЗМАЛЕН ОТГОВОР 1,G40
ФОТОПАРОКСИЗМАЛЕН ОТГОВОР 1; PPR1,G40
Фоточувствителна епилепсия, PSE,G40
PPR,G40
ICD,F63
Разрушаващи, импулсни контроли и нарушения в поведението,F63
импулсно разстройство,F63
нарушение на контрола на импулсите,F63
Фамилна бъбречна глюкозурия,E74
Гликозурия, бъбречна,E74
GLYS,E74
Glys1,E74
бъбречен диабет,E74
Бъбречна глюкозурия,E74
РЕНАЛ ГЛУКОЗУРИЯ; GLYS,E74
Дефицит на SGLT2,E74
Анемия, Diamond-Blackfan,D61
Синдром на Blackfan - Diamond,D61
хронична конституционна анемия на червените клетки,D61
хронична конституционна аплазия на червените клетки (разстройство),D61
Церебрален инфаркт,I63
Церебрален инфаркт,I63
Церебрален инфаркт NOS,I63
Церебрален инфаркт NOS (разстройство),I63
Церебрална исхемия,I63
Церебрална, инфарктна,I63
CVA - Церебрален инфаркт,I63
Инфаркт, церебрален,I63
мор,A00
ALPS4,D72
ALPS тип 4,D72
ALPS тип IV,D72
автоимунен лимфопролиферативен синдром тип 4,D72
автоимунен лимфопролиферативен синдром тип IV,D72
Автоимунен лимфопролиферативен синдром, тип 4,D72
RALD,D72
Свързана с RAS автоимунна левкопролиферативна болест,D72
Свързано с RAS автоимунно левкопролиферативно разстройство,D72
RAS-АСОЦИИРАН АВТОИМУНЕН ЛЕУКОПРОЛИФЕРАТИВЕН РАЗПРЕДЕЛЕНИЕ; RALD,D72
алергично заболяване,Т78
алергии,Т78
алергия,Т78
свръхчувствителност,Т78
реакция на свръхчувствителност тип I заболяване,Т78
незабавен отговор на свръхчувствителност,Т78
Имунологични заболявания. алергия,Т78
Предсърдно мъждене, фамилна, 17,I45
ДЪЛГ QT СИНДРОМ 10,I45
ДЪЛГ QT СИНДРОМ 10; LQT10,I45
Синдром на дълъг Qt тип 10,I45
LQT11,I45
ДЪЛГ QT СИНДРОМ 11,I45
ДЪЛГ QT СИНДРОМ 11; LQT11,I45
синдром на дълъг QT тип 11,I45
ДЪЛГ QT СИНДРОМ 12,I45
ДЪЛГ QT СИНДРОМ 12; LQT12,I45
Синдром на дълъг Qt тип 12,I45
LQT12,I45
LQT13,I45
ДЪЛГ QT СИНДРОМ 13,I45
ДЪЛГ QT СИНДРОМ 13; LQT13,I45
Синдром на дълъг Qt тип 13,I45
LQT14,I45
ДЪЛГ QT СИНДРОМ 14,I45
ДЪЛГ QT СИНДРОМ 14; LQT14,I45
Синдром на дълъг Qt тип 14,I45
LQT15,I45
ДЪЛГ QT СИНДРОМ 15,I45
ДЪЛГ QT СИНДРОМ 15; LQT15,I45
синдром на дълъг QT тип 15,I45
ЕАД,G70
CMS5,G70
CMS Ic,G70
вроден миастеничен синдром тип Енгел,G70
вроден миастеничен синдром тип Ic,G70
дефицит на ацетилхолинестераза на крайната плоча,G70
Енгел вроден миастеничен синдром,G70
Синаптични вродени миастенични синдроми,G70
Микро синдром 1,Q87
WARBM1,Q87
WARBM2,Q87
Микро синдром 2,Q87
ВАРБУРГ МИКРО СИНДРОМ 2,Q87
WARBURG MICRO SYNDROME 2; WARBM2,Q87
Микро синдром на Warburg тип 2,Q87
WARBM3,Q87
Микро синдром 3,Q87
ВАРБУРГ МИКРО СИНДРОМ 3,Q87
WARBURG MICRO SYNDROME 3; WARBM3,Q87
Микро синдром на Warburg тип 3,Q87
WARBM4,Q87
Микро синдром 4,Q87
ВАРБУРГ МИКРО СИНДРОМ 4,Q87
WARBURG MICRO SYNDROME 4; WARBM4,Q87
Микро синдром на Warburg тип 4,Q87
CLN4B,E75
Автозомно-доминантна болест на куфовете,E75
автозомно доминираща невронална цероидна липофусциноза 4В,E75
CEROID LIPOFUSCINOSIS, NEURONAL, 4B, AUTOSOMAL DOMINANT,E75
CEROID LIPOFUSCINOSIS, NEURONAL, 4B, AUTOSOMAL DOMINANT; CLN4B,E75
Сероидна липофускиноза, невронален, тип Пари,E75
CLN4B заболяване,E75
Kufs заболяване, автозомно доминиращо,E75
невронална сероидна липофускиноза 4 тип Пари,E75
невронална цероидна липофускиноза тип 4В,E75
Невронална сероидна липофусциноза, тип Пари,E75
CLN1,E75
Възрастен CLN (тип CLN1),E75
Цероидна липофускиноза невронал 1,E75
ЦЕРОИДНА ЛИПОФУСЦИНОЗА, НЕВРОНАЛНА, 1,E75
Сероидна липофускиноза, невронал, 1, променлива възраст в началото,E75
CEROID LIPOFUSCINOSIS, NEURONAL, 1; CLN1,E75
Сероидна липофускиноза, невронал, тип 1,E75
Класически късен инфантилен CLN (тип CLN1),E75
Заболяване CLN1,E75
CLN1 променлива възраст в началото,E75
Детска CLN (тип CLN1),E75
Непълнолетен CLN (тип CLN1),E75
невронална цероидна липофускиноза 1 променлива възраст на начало,E75
невронална цероидна липофускиноза тип 1,E75
Невронална сероидна липофускиноза, инфантилна,E75
Болест на Сантавури,E75
Болест на Сантавуори-Халтия,E75
CEROID LIPOFUSCINOSIS, NEURONAL, 7,E75
CEROID LIPOFUSCINOSIS, NEURONAL, 7; CLN7,E75
Сероидна липофускиноза, невронал, тип 7,E75
CLN7,E75
CLN7 заболяване,E75
CLN7 заболяване, късно инфантилно,E75
невронална цероидна липофускиноза тип 7,E75
CEROID LIPOFUSCINOSIS, NEURONAL, 8,E75
CEROID LIPOFUSCINOSIS, NEURONAL, 8; CLN8,E75
Сероидна липофускиноза, невронал, тип 8,E75
CLN8 заболяване,E75
невронална цероидна липофускиноза тип 8,E75
CLN10,E75
Недостиг на катепсин D,E75
Цероидна липофускиноза невронален катепсин D-дефицит,E75
CEROID LIPOFUSCINOSIS, NEURONAL, 10,E75
CEROID LIPOFUSCINOSIS, NEURONAL, 10; CLN10,E75
Сероидна липофускиноза, невронал, катепсин D-дефицит,E75
Сероидна липофускиноза, невронал, тип 10,E75
CLN10 заболяване,E75
CLN10 заболяване, възрастен (подтип),E75
CLN10 заболяване, вродено (подтип),E75
фамилна еритроцитоза,D75
Позната полицитемия,D75
челен синузит, хроничен,J32
Черен синузит (и хроничен),J32
Челен синузит (разстройство),J32
(максиларен синузит) или (хроничен антирит),J32
хроничен антирит,J32
максиларен синузит, хроничен,J32
сфеноиден синузит, хроничен,J32
Сфеноидален синус-хр.,J32
рак на носната кухина,C30
Злокачествена неоплазма на носната кухина,C30
Злокачествен тумор на носната кухина,C30
злокачествено новообразувание на носните кухини,C30
злокачествена неоплазма на носната кухина,C30
Злокачествена неоплазма на носната кухина,C30
Злокачествен тумор на носната кухина,C30
злокачествен тумор на носната кухина,C30
EEE,A83
източен енцефалит по конете,A83
Източен енцефаломиелит по конете,A83
Невроинвазивна инфекция с вируса на енцефалит от източно коня,A83
WEE,A83
Западен енцефаломиелит по конете,A83
